City,Country,IATA,CA,MU,CZ,HU
Hangzhou,"People's Republic of China",HGH,yes,yes,yes,yes
Hanoi,"Viet Nam",HAN,yes,yes,yes,yes
Hanoi,Vietnam,HAN,yes,yes,yes,yes
Hanzhong,"People's Republic of China",HZG,NULL,yes,NULL,yes
Harbin,"People's Republic of China",HRB,yes,yes,yes,yes
Hefei,"People's Republic of China",HFE,yes,yes,yes,yes
Heihe,"People's Republic of China",HEK,NULL,NULL,yes,NULL
Hiroshima,Japan,HIJ,yes,yes,yes,NULL
"Ho Chi Minh City","Viet Nam",SGN,yes,yes,yes,yes
"Ho Chi Minh City",Vietnam,SGN,yes,yes,yes,yes
Hohhot,"People's Republic of China",HET,yes,yes,yes,yes
"Hong Kong","Hong Kong",HKG,yes,yes,yes,yes
Honolulu,"United States",HNL,yes,yes,NULL,NULL
Hotan,"People's Republic of China",HTN,yes,NULL,yes,NULL
Houston,"United States",IAH,yes,NULL,NULL,NULL
Huai'an,"People's Republic of China",HIA,NULL,yes,NULL,yes
Huaihua,"People's Republic of China",HJJ,NULL,NULL,yes,NULL
Huangshan,"People's Republic of China",TXN,yes,yes,yes,NULL
Irkutsk,Russia,IKT,yes,NULL,NULL,yes
Islamabad,Pakistan,ISB,NULL,NULL,yes,NULL
Jakarta,Indonesia,CGK,NULL,yes,yes,NULL
Jeddah,"Saudi Arabia",JED,NULL,NULL,yes,NULL
Jeju,Korea,CJU,yes,yes,yes,NULL
Jeju,"South Korea",CJU,yes,yes,yes,NULL
Ji'an,"People's Republic of China",JGS,yes,yes,yes,NULL
Jiagedaqi,"People's Republic of China",JGD,NULL,yes,NULL,NULL
Jiamusi,"People's Republic of China",JMU,yes,NULL,yes,yes
Jiayuguan,"People's Republic of China",JGN,NULL,yes,NULL,NULL
Jinan,"People's Republic of China",TNA,yes,yes,yes,yes
Jingdezhen,"People's Republic of China",JDZ,yes,NULL,yes,NULL
Jinghong,"People's Republic of China",JHG,yes,yes,yes,NULL
Jining,"People's Republic of China",JNG,NULL,yes,yes,NULL
Jinzhou,"People's Republic of China",JNZ,NULL,NULL,NULL,yes
Jiujiang,"People's Republic of China",JIU,NULL,yes,yes,NULL
Jiuzhaigou,"People's Republic of China",JZH,yes,yes,yes,NULL
Jixi,"People's Republic of China",JXA,NULL,yes,yes,NULL
Johannesburg,"South Africa",JNB,yes,yes,NULL,NULL
Kagoshima,Japan,KOJ,NULL,yes,NULL,NULL
Kaili,"People's Republic of China",KJH,NULL,yes,NULL,NULL
Kalibo,Philippines,KLO,NULL,yes,NULL,NULL
Kaohsiung,Taiwan,KHH,NULL,yes,yes,NULL
Karachi,Pakistan,KHI,yes,yes,NULL,NULL
Karamay,"People's Republic of China",KRY,yes,NULL,yes,NULL
Kashgar,"People's Republic of China",KHG,yes,yes,yes,yes
Kathmandu,Nepal,KTM,yes,yes,yes,NULL
Khabarovsk,Russia,KHV,NULL,NULL,yes,NULL
Khartoum,Sudan,KRT,NULL,NULL,NULL,yes
Khujand,Tajikistan,LBD,NULL,NULL,yes,NULL
"Ko Samui",Thailand,USM,NULL,NULL,yes,NULL
